id,predictions
6141dc9f3ac25c70a5c6c955,0.36183706
6141d06f4e27a1844a5f00cc,1.1448069
6141cf35b842c2e72e2f2d66,1.7996942
6141dd364e27a1844a5f02ba,1.13651
6142d13a3ac25c70a5c6cc53,0.40543842
6141cfefee0a3fd43fb47a73,0.35120636
6141dcd24e27a1844a5f02b0,1.1393276
6141cf8e9cbada84a8676837,1.8033285
6141e813baaf234b35290482,1.1092365
6141cf404e27a1844a5f0034,1.1408474
61426fa64e27a1844a5f07f0,1.1455004
61432b5931cf3ef3d4a9f6f6,0.40533832
6141efc5baaf234b352904ec,1.1048561
6141dd7eee0a3fd43fb47c6b,0.35320035
6141eda24e27a1844a5f0404,1.1268084
614254813ac25c70a5c6cb83,0.3968397
61423770ee0a3fd43fb47efb,0.34752905
6141d01e9cbada84a8676875,1.8009659
6141cfe59cbada84a8676861,1.8019742
6141d818ee0a3fd43fb47be1,0.3995169
6141d57eee0a3fd43fb47b95,0.41768456
6142312f31cf3ef3d4a9f3ac,0.4256384
6141ee1bbaaf234b352904d8,1.0940067
6141dcddee0a3fd43fb47c5d,0.34890798
6141d4733ac25c70a5c6c8eb,0.28633454
6142490931cf3ef3d4a9f432,0.41127777
6142050c31cf3ef3d4a9f232,0.41266844
6141d03b9cbada84a867687f,1.8027726
61420f79ee0a3fd43fb47e65,0.34900305
6141f59931cf3ef3d4a9f186,0.38181555
6143487831cf3ef3d4a9f724,0.3579757
6141d23aee0a3fd43fb47b0f,0.34255174
6142b740ee0a3fd43fb47f81,0.33228594
6141d08731cf3ef3d4a9ee14,0.40582898
6141efa9ee0a3fd43fb47d75,0.25996312
614213e631cf3ef3d4a9f2c8,0.3852931
6141da32baaf234b352903a4,1.107602
6141cf2431cf3ef3d4a9ed5c,0.35255373
614234213ac25c70a5c6cb23,0.3846114
6141f0199cbada84a8676b65,1.7998809
61428a8631cf3ef3d4a9f56a,0.34009025
61420fb23ac25c70a5c6ca9b,0.34514812
61422d953ac25c70a5c6cb0d,0.39881912
6141cf3d9cbada84a86767fd,1.8030831
6141dd0a4e27a1844a5f02b6,1.1362306
61426a324e27a1844a5f07d4,1.1431906
6141cf1b69b0784ffcf8f861,0.352758
61427bbf3ac25c70a5c6cbdf,0.38532063
61420c0031cf3ef3d4a9f284,0.30766723
6141d12c4e27a1844a5f0102,1.1430041
6141da4e4e27a1844a5f0268,1.1445884
6141d9ab3ac25c70a5c6c937,0.4094946
61428b684e27a1844a5f0862,1.1429859
6142028831cf3ef3d4a9f214,0.38590732
6141d1173ac25c70a5c6c8a3,0.39005974
6142190eee0a3fd43fb47e8d,0.3945995
614206ec3ac25c70a5c6ca75,0.410161
61424d209cbada84a8676d0d,1.8025151
6141d1fb3ac25c70a5c6c8b9,0.39378145
6142200831cf3ef3d4a9f32e,0.3735179
6141e54d4e27a1844a5f0372,1.1400338
6141d5f34e27a1844a5f01de,1.151957
6141cf9931cf3ef3d4a9edb6,0.3904861
6143e6339cbada84a8676d8d,1.799553
6142b29e31cf3ef3d4a9f5ea,0.34864447
6141cf1602d926221cabc54d,0.33417526
6141d5bdbaaf234b3529032c,1.1050757
6141cfe19cbada84a867685f,1.8014628
6142f4673ac25c70a5c6cc83,0.39255765
6141f7cc31cf3ef3d4a9f19c,0.39576423
6141f1b09cbada84a8676b71,1.7994889
6141cf1631cf3ef3d4a9ed42,0.36859956
6141e4d4baaf234b3529044e,1.1052558
61421ace4e27a1844a5f0604,1.1436387
6141f1ca9cbada84a8676b73,1.7952927
6141d61831cf3ef3d4a9ef28,0.37993193
61424f663ac25c70a5c6cb71,0.40335503
6142387831cf3ef3d4a9f3e0,0.34510097
614243273ac25c70a5c6cb51,0.28868097
61425c149cbada84a8676d2b,1.8006243
6141e37731cf3ef3d4a9f07a,0.4041256
6141e449baaf234b35290448,1.0501208
6141d58131cf3ef3d4a9ef14,0.3854713
61426b1c3ac25c70a5c6cbbd,0.2947158
61427c8031cf3ef3d4a9f534,0.35125408
6141df2d9cbada84a8676a79,1.8003142
6141e8c89cbada84a8676b0f,1.8003293
6141fb86ee0a3fd43fb47def,0.3892252
6142920531cf3ef3d4a9f588,0.35137635
6141d23abaaf234b352902a8,1.1057881
6142631b4e27a1844a5f07c2,1.1473336
615083823ac25c70a5c6ce03,0.40910944
61423ef64e27a1844a5f06fe,1.1810642
6142676b31cf3ef3d4a9f4de,0.39819238
61421e1fbaaf234b3529060c,1.1118687
6141dd209cbada84a8676a4d,1.8022473
6141d3059cbada84a8676923,1.8050402
6141d98c31cf3ef3d4a9ef94,0.4189702
6142653ebaaf234b352906d2,0.99877304
6141cf243ac25c70a5c6c847,0.3672903
6141d697ee0a3fd43fb47bb7,0.26652974
6141eca131cf3ef3d4a9f108,0.3868368
6141cf201d648932fbc3429f,1.4378406
6141da0e31cf3ef3d4a9efa0,0.37316743
6141d28cee0a3fd43fb47b21,0.4346821
6143caea3ac25c70a5c6cd33,0.368547
6141d3894e27a1844a5f017e,1.1549283
614204ca4e27a1844a5f0538,1.138375
61441d234e27a1844a5f0aa4,1.1434983
6141cf4cbaaf234b352901ca,1.095474
6141ee9431cf3ef3d4a9f120,0.40584186
6141f6584e27a1844a5f048c,1.1429871
6141d17c4e27a1844a5f0116,1.1473073
614236174e27a1844a5f06c4,1.141478
6141fbc89cbada84a8676bcd,1.7980946
6141e3009cbada84a8676ab9,1.802593
6141d94dee0a3fd43fb47bff,0.2845577
6141d29fee0a3fd43fb47b25,0.4194349
6141cf34ee0a3fd43fb47a0b,0.3503189
6141d02e31cf3ef3d4a9edf6,0.3804299
61425ab24e27a1844a5f079c,1.1437608
614341814e27a1844a5f0a0e,1.1458331
6142abed4e27a1844a5f08da,1.1389023
6141cf4b02d926221cabc55f,0.34339702
6141de5231cf3ef3d4a9f00c,0.35513696
61455a754e27a1844a5f0ae8,1.1449641
6141e4a09cbada84a8676ad3,1.8011662
6141f6bb4e27a1844a5f0492,1.1427941
614200dbbaaf234b35290578,1.0904603
6141f3b2baaf234b35290512,1.1091065
6142ee8f31cf3ef3d4a9f684,0.39826953
6141f0b29cbada84a8676b6b,1.8017732
614204abbaaf234b3529058e,1.0407989
61459c7d3ac25c70a5c6cdc3,0.40187594
6142f229baaf234b35290738,1.1069654
614326443ac25c70a5c6ccb1,0.39080095
6141d0104e27a1844a5f00a8,1.1466388
614205214e27a1844a5f053c,1.1481467
6141dd98baaf234b352903dc,1.0960933
61429e9c31cf3ef3d4a9f5b2,0.40600523
6142494a4e27a1844a5f0738,1.1442615
6141d0824e27a1844a5f00d2,1.134493
6141e16c4e27a1844a5f0320,1.144099
6141d213baaf234b352902a0,1.0993816
614536c031cf3ef3d4a9f824,0.3534414
614286b69cbada84a8676d5d,1.7999846
6141e9b831cf3ef3d4a9f0dc,0.34702015
6142464831cf3ef3d4a9f422,0.39812538
614205f3baaf234b3529059a,1.0939711
6142caa431cf3ef3d4a9f62a,0.40906122
61429a433ac25c70a5c6cc0f,0.39908996
6142585a4e27a1844a5f0790,1.1433593
6141cf419cbada84a8676801,1.803892
61440ddc31cf3ef3d4a9f7ce,0.4288384
61420e9631cf3ef3d4a9f29e,0.4070286
6142dc9e31cf3ef3d4a9f658,0.388091
6141fa4ebaaf234b35290544,1.111121
6141cf18b842c2e72e2f2d58,1.7999996
614254669cbada84a8676d1d,1.7988713
614220fd4e27a1844a5f0630,1.1454953
6141dc914e27a1844a5f02a8,1.1461564
6143cf9c31cf3ef3d4a9f7a0,0.2985715
61420b3b31cf3ef3d4a9f27a,0.2979505
