iter	MAE
0	0.1008256412
1	0.04661698136
2	0.04054024912
3	0.02784129272
4	0.0255922147
5	0.02458816745
6	0.0228830088
7	0.02245618963
8	0.02196985855
9	0.02170331323
10	0.0210074315
11	0.01957195291
12	0.0188492014
13	0.01773320098
14	0.01728870603
15	0.0167760588
16	0.01606184822
17	0.01592769793
18	0.01560927467
19	0.01520529633
20	0.01485487837
21	0.01447150185
22	0.01428634174
23	0.01392735792
24	0.01355488449
25	0.01314623107
26	0.01286260033
27	0.01262285992
28	0.01213743132
29	0.01179265928
30	0.01167236504
31	0.01156654756
32	0.01114822284
33	0.01105813609
34	0.01091705685
35	0.01082654327
36	0.01063863427
37	0.010573272
38	0.01042317422
39	0.01027582963
40	0.01015126808
41	0.01008854618
42	0.009958116934
43	0.009892015452
44	0.009749588162
45	0.009706795525
46	0.00946950381
47	0.009417571218
48	0.009251455601
49	0.009160761943
50	0.00911032816
51	0.009048768034
52	0.00888001871
53	0.008728613158
54	0.008521925185
55	0.008470747093
56	0.008363702723
57	0.008329661785
58	0.00830970967
59	0.007956504631
60	0.007877370799
61	0.007853292473
62	0.007733211278
63	0.007647746875
64	0.007609773006
65	0.007485795533
66	0.007428500093
67	0.007400020363
68	0.007307926598
69	0.007280110039
70	0.007142243104
71	0.007096432719
72	0.007065276796
73	0.007040979985
74	0.0070355711
75	0.006996619604
76	0.006987135498
77	0.006934842343
78	0.006758866523
79	0.006726286317
80	0.006715676876
81	0.006702136145
82	0.006633029247
83	0.006612151862
84	0.006588178855
85	0.006580652538
86	0.006543127511
87	0.006516719893
88	0.006444879348
89	0.006422374017
90	0.00640170829
91	0.006387717597
92	0.006368308502
93	0.006361317737
94	0.006359324566
95	0.006351196025
96	0.006347656576
97	0.006336003288
98	0.006333208457
99	0.006314038297
100	0.006305206946
101	0.0062839656
102	0.006277230693
103	0.006208766091
104	0.00616605721
105	0.006156453712
106	0.006148663743
107	0.00613642422
108	0.006113255634
109	0.006075511432
110	0.00607055385
111	0.006062744687
112	0.006041423606
113	0.006038156967
114	0.006022782034
115	0.006014480985
116	0.005970447483
117	0.005959377434
118	0.005943257181
119	0.005910064395
120	0.005903537286
121	0.005841738592
122	0.005838033203
123	0.005825214824
124	0.005822432719
125	0.005793190383
126	0.005784759784
127	0.005773011117
128	0.005764718779
129	0.005758558344
130	0.005748995942
131	0.005727196885
132	0.005717535229
133	0.005705302998
134	0.005703212302
135	0.005669231409
136	0.005664171831
137	0.005656060721
138	0.005649385474
139	0.005633068495
140	0.005629323881
141	0.005627106087
142	0.005582158403
143	0.005556306028
144	0.005553219738
145	0.005551133597
146	0.0055416804
147	0.005494578441
148	0.005484446688
149	0.005473586255
150	0.005456237097
151	0.005452428576
152	0.00540701976
153	0.005399753555
154	0.005399188527
155	0.00539668351
156	0.005395182853
157	0.005392732329
158	0.005386361784
