_id,band_gap
6141cf0f51c1cbd9654b8870,1.0843
6141cf1051c1cbd9654b8872,1.1101999999999999
6141cf11cc0e69a0cf28ab35,1.1484
6141cf11b842c2e72e2f2d48,1.8068
6141cf11ae4fb853db2e3f14,0.36
6141cf11cc0e69a0cf28ab37,1.1475
6141cf12b842c2e72e2f2d4a,1.8075
6141cf12cc0e69a0cf28ab39,1.1477
6141cf1202d926221cabc545,0.35600000000000004
6141cf13cc0e69a0cf28ab3b,1.1465
6141cf1302d926221cabc547,0.35319999999999996
6141cf13b842c2e72e2f2d4c,1.8101
6141cf133ac25c70a5c6c837,0.366
6141cf1369b0784ffcf8f84f,0.3586
6141cf13cc0e69a0cf28ab3d,1.1432
6141cf1531cf3ef3d4a9ed3e,0.41370000000000007
6141cf1502d926221cabc54b,0.28279999999999994
6141cf15c819ca30b196b473,1.8001
6141cf15ee0a3fd43fb479db,0.3551
6141cf16b842c2e72e2f2d52,1.8098
6141cf16a05be5973bd77a67,1.1383999999999999
6141cf16ee0a3fd43fb479dd,0.3503
6141cf16a05be5973bd77a69,1.1497
6141cf1651c1cbd9654b8876,0.9607
6141cf16baaf234b35290186,1.1041
6141cf173ac25c70a5c6c83d,0.26940000000000003
6141cf17b842c2e72e2f2d54,1.8082
6141cf17baaf234b35290188,1.1084
6141cf1731cf3ef3d4a9ed44,0.3524
6141cf1702d926221cabc54f,0.3577
6141cf171d648932fbc3428f,1.8026
6141cf17cc0e69a0cf28ab45,1.1447
6141cf18ee0a3fd43fb479e1,0.3808
6141cf18b842c2e72e2f2d56,1.8089
6141cf1869b0784ffcf8f85b,0.2749
6141cf189cbada84a86767c3,1.8073000000000001
6141cf18baaf234b3529018c,1.1046
6141cf1802d926221cabc551,0.4206
6141cf1969b0784ffcf8f85d,0.3482
6141cf193ac25c70a5c6c83f,0.29910000000000003
6141cf19baaf234b3529018e,1.0009000000000001
6141cf191d648932fbc34295,1.8025
6141cf199cbada84a86767c7,1.8094999999999999
6141cf194e27a1844a5efffe,1.1452
6141cf19a05be5973bd77a71,1.1456
6141cf19cc0e69a0cf28ab49,1.1484999999999999
6141cf1969b0784ffcf8f85f,0.3579
6141cf1a31cf3ef3d4a9ed4a,0.35609999999999997
6141cf1a1d648932fbc34297,1.8029
6141cf1aee0a3fd43fb479e7,0.3574
6141cf1ba05be5973bd77a73,1.1453
6141cf1b02d926221cabc553,0.3929
6141cf1b3ac25c70a5c6c841,0.39949999999999997
6141cf1b9cbada84a86767cd,1.8059
6141cf1bcc0e69a0cf28ab4b,1.1459000000000001
6141cf1bee0a3fd43fb479e9,0.3446
6141cf1c31cf3ef3d4a9ed4e,0.41869999999999996
6141cf1c4e27a1844a5f0006,1.1482999999999999
6141cf1c9cbada84a86767cf,1.8094999999999999
6141cf1ca05be5973bd77a75,1.1467
6141cf1cee0a3fd43fb479eb,0.41539999999999994
6141cf1d4e27a1844a5f0008,1.1456
6141cf1d31cf3ef3d4a9ed50,0.352
6141cf1e4e27a1844a5f000a,1.1465
6141cf1e4e27a1844a5f000c,1.1459
6141cf1ebaaf234b3529019a,1.0011
6141cf1f9cbada84a86767d5,1.8083
6141cf1fee0a3fd43fb479ef,0.42300000000000004
6141cf1f31cf3ef3d4a9ed54,0.4079999999999999
6141cf1f4e27a1844a5f000e,1.1446
6141cf209cbada84a86767d7,1.8098
6141cf20ee0a3fd43fb479f1,0.3578
6141cf204e27a1844a5f0010,1.1426
6141cf2031cf3ef3d4a9ed56,0.3552
6141cf213ac25c70a5c6c845,0.4249
6141cf219cbada84a86767d9,1.8094000000000001
6141cf21baaf234b3529019e,1.0998
6141cf21ee0a3fd43fb479f3,0.4346
6141cf21cc0e69a0cf28ab51,1.1486
